1.45	8.90	 0.030	 0.774	 0.196	2.51
1.50	5.73	 0.055	 0.759	 0.186	2.49
1.55	4.26	 0.078	 0.754	 0.168	2.44
1.60	3.44	 0.095	 0.733	 0.171	2.47
1.65	2.92	 0.131	 0.707	 0.162	2.46
1.70	2.57	 0.148	 0.722	 0.130	2.36
1.75	2.31	 0.179	 0.712	 0.109	2.31
1.80	2.12	 0.179	 0.718	 0.104	2.29
1.85	1.96	 0.222	 0.668	 0.110	2.33
1.90	1.84	 0.215	 0.693	 0.092	2.27
1.95	1.74	 0.226	 0.689	 0.085	2.25
2.00	1.66	 0.254	 0.683	 0.063	2.19
2.05	1.59	 0.287	 0.667	 0.047	2.14
2.10	1.53	 0.275	 0.675	 0.050	2.15
2.15	1.48	 0.279	 0.682	 0.038	2.11
2.20	1.43	 0.317	 0.646	 0.037	2.11
2.25	1.39	 0.339	 0.629	 0.031	2.10
2.30	1.35	 0.352	 0.621	 0.027	2.09
